PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal,OFC_PP,OFC_PR,OFC_OR,OFC_TW,MC_PP,MC_PR,MC_OR,MC_TW,SC|TAVE|TAMS_PP,SC|TAVE|TAMS_PR,SC|TAVE|TAMS_OR,SC|TAVE|TAMS_TW,VDT_PP,VDT_PR,VDT_OR,VDT_TW,AI|N_PP,AI|N_PR,AI|N_OR,AI|N_TW,DIP|ESAR_PP,DIP|ESAR_PR,DIP|ESAR_OR,DIP|ESAR_TW,PI_PP,PI_PR,PI_OR,PI_TW,CN_PP,CN_PR,CN_OR,CN_TW,TSS_PP,TSS_PR,TSS_OR,TSS_TW,PP_PP,PP_PR,PP_OR,PP_TW,EPD_PP,EPD_PR,EPD_OR,EPD_TW
12345678Z,COLNAME,ET,989,0,989,72,38,0,22,56,0,0,0,59,39,0,15,47,24,0,0,51,0,0,0,63,30,0,18,0,0,45,96,61,0,35,0,55,0,43,0,0,0,0,36,62,0,0,22
12345678Z,COLNAME,ET,869,0,869,55,34,0,21,40,0,0,0,49,25,0,15,40,26,0,0,49,0,0,0,40,25,0,19,0,0,45,96,59,0,37,0,50,0,36,0,0,0,0,40,48,0,0,20
12345678Z,COLNAME,ET,910,0,910,67,36,0,22,44,0,0,0,40,38,0,18,45,32,0,0,40,0,0,0,55,28,0,20,0,0,44,95,55,0,36,0,45,0,39,0,0,0,0,35,54,0,0,22
12345678Z,COLNAME,ET,921,0,921,81,35,0,21,41,0,0,0,64,22,0,18,43,32,0,0,48,0,0,0,40,32,0,23,0,0,45,93,63,0,35,0,53,0,37,0,0,0,0,30,45,0,0,20
12345678Z,COLNAME,ET,896,4,900,44,34,0,20,61,0,0,0,57,35,0,22,40,30,0,0,68,0,0,0,40,26,0,18,0,0,41,95,50,0,34,0,46,0,36,0,0,0,0,35,43,0,0,21
12345678Z,COLNAME,ET,896,4,900,60,36,0,21,55,0,0,0,52,33,0,20,40,30,0,0,40,0,0,0,45,32,0,20,0,0,46,96,47,0,33,0,52,0,39,0,0,0,0,38,40,0,0,21
12345678Z,COLNAME,ET,775,0,775,52,34,0,21,40,0,0,0,40,21,0,17,40,21,0,0,40,0,0,0,45,22,0,17,0,0,41,89,40,0,34,0,31,0,35,0,0,0,0,34,42,0,0,19
12345678Z,COLNAME,ET,875,0,875,59,25,0,19,40,0,0,0,60,21,0,17,45,24,0,0,48,0,0,0,43,30,0,17,0,0,40,95,61,0,39,0,53,0,37,0,0,0,0,39,40,0,0,23
12345678Z,COLNAME,ET,960,0,960,65,38,0,22,60,0,0,0,55,36,0,22,45,35,0,0,63,0,0,0,49,21,0,16,0,0,45,95,62,0,38,0,54,0,38,0,0,0,0,36,43,0,0,22
12345678Z,COLNAME,ET,942,0,942,40,36,0,22,40,0,0,0,52,41,0,23,40,43,0,0,62,0,0,0,44,38,0,21,0,0,45,96,60,0,41,0,52,0,41,0,0,0,0,39,44,0,0,22
12345678Z,COLNAME,ET,840,0,840,40,25,0,19,41,0,0,0,40,23,0,20,45,22,0,0,63,0,0,0,55,38,0,23,0,0,43,92,46,0,30,0,47,0,32,0,0,0,0,37,40,0,0,19
