PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal,CM_PP,CM_PR,CM_OR,CM_TW,TMICE|ACT_PP,TMICE|ACT_PR,TMICE|ACT_OR,TMICE|ACT_TW,EEI_PP,EEI_PR,EEI_OR,EEI_TW,QST_PP,QST_PR,QST_OR,QST_TW,SAICE|AATP_PP,SAICE|AATP_PR,SAICE|AATP_OR,SAICE|AATP_TW,TEI_PP,TEI_PR,TEI_OR,TEI_TW,PW_PP,PW_PR,PW_OR,PW_TW,ATE|G_PP,ATE|G_PR,ATE|G_OR,ATE|G_TW,SDI_PP,SDI_PR,SDI_OR,SDI_TW,DAHS_PP,DAHS_PR,DAHS_OR,DAHS_TW
12345678Z,COLNAME,CIVI,889,0,889,72,0,0,21,54,0,0,0,46,0,35,21,49,0,28,37,48,0,0,18,52,0,32,16,0,0,40,90,61,0,0,0,40,0,23,12,48,0,27,19
12345678Z,COLNAME,CIVI,960,0,960,66,0,0,21,56,0,0,0,40,0,38,22,52,0,37,42,53,0,0,20,54,0,38,20,0,0,44,86,52,0,0,0,51,0,34,20,55,0,38,21
12345678Z,COLNAME,CIVI,1055,0,1055,69,0,0,23,58,0,0,0,53,0,40,23,71,0,40,44,51,0,0,20,61,0,44,22,0,0,43,95,72,0,0,0,54,0,32,20,58,0,40,22
12345678Z,COLNAME,CIVI,1010,0,1010,74,0,0,23,64,0,0,0,59,0,38,23,64,0,39,38,40,0,0,19,65,0,38,20,0,0,40,95,61,0,0,0,44,0,32,15,68,0,30,21
12345678Z,COLNAME,CIVI,944,0,944,73,0,0,21,61,0,0,0,45,0,32,21,69,0,26,37,57,0,0,18,60,0,34,16,0,0,40,84,57,0,0,0,51,0,29,15,51,0,28,19
12345678Z,COLNAME,CIVI,1129,0,1129,81,0,0,20,73,0,0,0,63,0,38,22,71,0,40,36,67,0,0,19,64,0,42,20,0,0,45,90,72,0,0,0,74,0,37,22,76,0,36,21
12345678Z,COLNAME,CIVI,967,0,967,81,0,0,21,64,0,0,0,48,0,30,21,63,0,37,38,46,0,0,17,61,0,34,16,0,0,40,89,57,0,0,0,41,0,33,14,71,0,26,19
12345678Z,COLNAME,CIVI,952,0,952,72,0,0,20,56,0,0,0,46,0,33,20,64,0,32,38,62,0,0,18,52,0,37,17,0,0,41,86,57,0,0,0,51,0,36,15,50,0,30,19
12345678Z,COLNAME,CIVI,907,0,907,54,0,0,22,49,0,0,0,40,0,34,20,62,0,35,39,48,0,0,19,57,0,36,18,0,0,40,92,49,0,0,0,42,0,37,16,50,0,28,20
12345678Z,COLNAME,CIVI,916,0,916,66,0,0,21,44,0,0,0,51,0,32,21,55,0,32,32,64,0,0,18,50,0,35,16,0,0,40,84,62,0,0,0,41,0,37,18,51,0,28,18
12345678Z,COLNAME,CIVI,970,0,970,74,0,0,18,69,0,0,0,46,0,28,19,64,0,29,28,60,0,0,20,63,0,35,17,0,0,43,88,67,0,0,0,40,0,36,15,65,0,28,18
12345678Z,COLNAME,CIVI,1056,0,1056,81,0,0,20,64,0,0,0,60,0,32,20,60,0,40,39,58,0,0,18,70,0,37,19,0,0,45,87,72,0,0,0,63,0,33,20,66,0,32,20
12345678Z,COLNAME,CIVI,847,0,847,44,0,0,20,44,0,0,0,47,0,34,22,51,0,30,25,53,0,0,18,46,0,33,18,0,0,42,85,45,0,0,0,49,0,31,15,48,0,28,19
12345678Z,COLNAME,CIVI,954,0,954,63,0,0,23,48,0,0,0,46,0,30,21,64,0,40,39,54,0,0,18,65,0,36,18,0,0,36,85,66,0,0,0,45,0,35,18,62,0,22,20
12345678Z,COLNAME,CIVI,795,0,795,54,0,0,19,45,0,0,0,40,0,22,21,42,0,24,22,55,0,0,20,47,0,32,16,0,0,40,88,40,0,0,0,43,0,28,12,42,0,24,19
12345678Z,COLNAME,CIVI,951,0,951,71,0,0,21,62,0,0,0,47,0,32,22,70,0,32,40,40,0,0,19,54,0,30,18,0,0,41,90,60,0,0,0,51,0,21,12,68,0,30,20
12345678Z,COLNAME,CIVI,985,0,985,70,0,0,20,65,0,0,0,55,0,29,21,68,0,36,38,43,0,0,19,65,0,38,18,0,0,45,89,65,0,0,0,52,0,26,12,72,0,21,18
12345678Z,COLNAME,CIVI,931,0,931,65,0,0,18,69,0,0,0,48,0,36,18,51,0,32,22,40,0,0,15,61,0,29,14,0,0,43,94,69,0,0,0,59,0,22,12,69,0,28,17
12345678Z,COLNAME,CIVI,1026,0,1026,76,0,0,22,57,0,0,0,52,0,30,22,70,0,35,37,67,0,0,19,65,0,34,18,0,0,41,90,59,0,0,0,62,0,38,18,62,0,33,19
12345678Z,COLNAME,CIVI,977,0,977,81,0,0,20,62,0,0,0,51,0,33,20,61,0,38,36,48,0,0,19,62,0,36,19,0,0,44,89,55,0,0,0,59,0,33,15,49,0,28,19
12345678Z,COLNAME,CIVI,990,0,990,67,0,0,20,64,0,0,0,40,0,32,21,63,0,31,31,53,0,0,18,68,0,38,21,0,0,45,90,60,0,0,0,58,0,34,16,70,0,30,20
12345678Z,COLNAME,CIVI,842,0,842,52,0,0,20,40,0,0,0,48,0,28,20,42,0,35,30,40,0,0,19,57,0,32,17,0,0,45,88,50,0,0,0,47,0,25,15,50,0,23,19
12345678Z,COLNAME,CIVI,940,0,940,62,0,0,20,48,0,0,0,52,0,30,20,61,0,37,41,48,0,0,20,60,0,36,19,0,0,45,90,59,0,0,0,40,0,37,16,46,0,32,21
12345678Z,COLNAME,CIVI,1026,0,1026,74,0,0,23,67,0,0,0,44,0,40,23,63,0,40,43,44,0,0,21,61,0,40,20,0,0,44,95,62,0,0,0,51,0,38,21,55,0,35,22
12345678Z,COLNAME,CIVI,1072,0,1072,75,0,0,22,70,0,0,0,57,0,40,23,71,0,36,40,59,0,0,22,55,0,42,21,0,0,46,89,66,0,0,0,64,0,39,21,59,0,33,22
12345678Z,COLNAME,CIVI,979,0,979,64,0,0,23,56,0,0,0,40,0,30,22,65,0,38,37,40,0,0,19,56,0,38,20,0,0,41,93,64,0,0,0,70,0,40,22,51,0,30,20
12345678Z,COLNAME,CIVI,980,0,980,63,0,0,22,61,0,0,0,62,0,32,21,72,0,39,36,43,0,0,19,73,0,32,18,0,0,41,95,63,0,0,0,40,0,30,15,53,0,32,18
